,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
127,dunkin donuts card balance,1,1,2900,75.84,0.0,https://www.dunkindonuts.com/en/dd-cards/check-balance,2320,0.03,0,0.0,655000,8/16/2020
128,donkin dunnts,1,1,2900,87.78,2.33,https://www.dunkindonuts.com/,2320,0.03,5405,0.03,33600000,8/18/2020
129,where is the nearest,1,1,4400,84.53,0.0,https://www.dunkindonuts.com/en/locations,2068,0.03,0,0.0,578000000,8/31/2020
130,dunkin donuts hours,2,2,74000,84.41,1.19,https://www.dunkindonuts.com/en/covid-19,1924,0.03,2289,0.0,31800000,8/30/2020
131,dunkin donuts frozen coffee,1,1,2900,87.77,5.2,https://news.dunkindonuts.com/blog/FrozenDunkinCoffee,2320,0.03,12064,0.12,0,8/15/2020
132,dunkin donuts latte,1,1,2900,86.01,5.14,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-latte,2320,0.03,11924,0.11,1340000,8/15/2020
133,dunkin donuts beyond sausage,1,1,2400,89.37,0.0,https://news.dunkindonuts.com/blog/dunkin-beyond-meat-sausage-breakfast,1920,0.03,0,0.01,0,8/27/2020
134,dunkin donuts pumpkin,1,1,2400,85.69,0.0,https://news.dunkindonuts.com/news/answering-the-call-for-fall-dunkins-signature-pumpkin-spice-latte-and-fall-menu-arrive-august-19,1920,0.03,0,0.13,949000,8/20/2020
135,dunkin donuts sandwiches,1,1,2400,91.7,1.68,https://www.dunkindonuts.com/en/food-drinks/sandwiches-wraps,1920,0.03,3225,0.01,0,8/17/2020
136,dunkin donuts apply,1,1,2400,79.3,0.47,https://www.dunkindonuts.com/en/careers,1920,0.03,902,0.07,34300000,8/16/2020
137,munchkin donut,1,1,2900,82.12,1.69,https://www.dunkindonuts.com/en/food-drinks/donuts/munchkins,1363,0.02,2303,0.06,370000,8/18/2020
138,dunkin donuts chocolate glazed donut,1,1,1600,85.19,0.0,https://www.dunkindonuts.com/en/food-drinks/donuts/donuts,1280,0.02,0,0.03,286000,8/19/2020
139,vanilla chai,1,1,3600,80.58,1.33,https://www.dunkindonuts.com/en/menu/teas-and-more/vanilla-chai,1692,0.02,2250,0.83,0,8/30/2020
140,closest dunkin donuts to my location,1,1,1900,81.68,2.78,https://www.dunkindonuts.com/en/locations,1520,0.02,4225,0.01,2370000,8/30/2020
141,dunkin donuts hawaii,1,1,1600,82.88,1.48,https://www.dunkindonuts.com/en/locations,1280,0.02,1894,0.01,861000,8/18/2020
142,check dunkin donuts gift card balance,1,1,1600,68.13,1.53,https://www.dunkindonuts.com/en/dd-cards/check-balance,1280,0.02,1958,0.0,412000,8/19/2020
143,chocolate frosted donut dunkin,1,1,1900,81.58,0.0,https://www.dunkindonuts.com/en/food-drinks/donuts/donuts,1520,0.02,0,0.0,211000,8/18/2020
144,dunkin careers,1,1,1600,69.51,0.41,https://www.dunkindonuts.com/en/careers,1280,0.02,524,0.03,14700000,8/16/2020
145,dunkin donuts cerca,1,1,1600,81.41,0.0,https://www.dunkindonuts.com/en/locations,1280,0.02,0,0.0,65,8/19/2020
146,baskin robbins,13,11,823000,85.19,1.39,https://www.dunkindonuts.com/,1481,0.02,2059,0.08,23700000,8/30/2020
147,where's the nearest dunkin donuts,1,1,1600,79.69,0.0,https://www.dunkindonuts.com/en/locations,1280,0.02,0,0.0,84,8/17/2020
148,dunkin locations,1,1,1600,81.26,0.0,https://www.dunkindonuts.com/en/locations,1280,0.02,0,0.01,32800000,8/23/2020
149,difference between latte and macchiato,1,1,3600,71.37,0.0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,1692,0.02,0,0.0,41100000,8/16/2020
150,where is the nearest dunkin donuts,1,1,1900,83.57,1.27,https://www.dunkindonuts.com/en/locations,1520,0.02,1930,0.0,29600000,8/29/2020
151,dunkin burrito bowl,1,1,1600,87.18,0.0,https://news.dunkindonuts.com/news/dunkin-launches-new-burrito-bowls-to-help-guests-power-through-fall,1280,0.02,0,0.0,726000,8/21/2020
152,dunkin donuts san diego,1,1,1600,88.29,0.0,https://www.dunkindonuts.com/en/locations,1280,0.02,0,0.0,97,8/27/2020
153,dunkin near me,3,3,90500,85.14,2.68,https://www.dunkindonuts.com/en/dunkin-delivers,1629,0.02,4365,0.01,29700000,8/30/2020
154,dunkin menu,2,2,49500,87.88,1.73,https://www.dunkindonuts.com/,1287,0.02,2226,0.0,28200000,8/30/2020
155,dunkin donuts las vegas,1,1,1900,86.67,0.0,https://www.dunkindonuts.com/en/locations,1520,0.02,0,0.0,971000,8/20/2020
156,dunkin donuts california,1,1,1600,86.13,0.0,https://www.dunkindonuts.com/en/locations,1280,0.02,0,0.0,5790000,8/23/2020
